('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         613248 function calls (588103 primitive calls) in 1.623 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       84    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       84    0.000    0.000    0.001    0.000 css_parser.py:792(parse_combinator)
       84    0.000    0.000    0.007    0.000 dataclasses.py:375(_create_fn)
       84    0.000    0.000    0.003    0.000 abc.py:84(__new__)
       82    0.000    0.000    0.000    0.000 dataclasses.py:595(_is_classvar)
       82    0.000    0.000    0.000    0.000 dataclasses.py:603(_is_initvar)
       82    0.000    0.000    0.000    0.000 typing.py:886(<genexpr>)
       81    0.000    0.000    0.000    0.000 os.py:748(encode)
       81    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1151(_parse_octet)
       78    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
       78    0.000    0.000    0.000    0.000 element.py:1624(__eq__)
       78    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
       78    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
       78    0.000    0.000    0.000    0.000 os.py:693(__iter__)
       77    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       77    0.001    0.000    0.005    0.000 css_parser.py:459(parse_attribute_selector)
       77    0.000    0.000    0.000    0.000 dataclasses.py:751(_set_new_attribute)
       77    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
       77    0.000    0.000    0.000    0.000 typing_extensions.py:149(_check_generic)
       76    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
       76    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       74    0.000    0.000    0.000    0.000 dataclasses.py:610(_is_type)
       73    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       73    0.000    0.000    0.000    0.000 element.py:387(_last_descendant)
    71/64    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       71    0.000    0.000    0.000    0.000 enum.py:223(<genexpr>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       69    0.000    0.000    0.001    0.000 css_parser.py:529(parse_tag_pattern)
       68    0.000    0.000    0.002    0.000 _htmlparser.py:90(handle_startendtag)
    68/50    0.000    0.000    0.102    0.002 <frozen importlib._bootstrap>:1017(_handle_fromlist)
       65    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       63    0.000    0.000    0.000    0.000 enum.py:393(<genexpr>)
       63    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
       63    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       62    0.000    0.000    0.000    0.000 _status_codes.py:24(__new__)
       61    0.000    0.000    0.000    0.000 dammit.py:166(<listcomp>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
       59    0.000    0.000    0.000    0.000 typing.py:206(_check_generic)
